App ID,Name,Price,Genres,User Reviews,Positive Reviews,Negative Reviews,Owners,Average Playtime,Median Playtime,Developer,Publisher
3418820,Platformer Slider,99.0,Casual,0,0,0,0 .. 20000,0,0,me,me
3418010,Fantasy Grounds - Searing Skies,499.0,"Indie, RPG, Strategy",0,0,0,0 .. 20000,0,0,"SmiteWorks USA, LLC",
3418840,Whack Mole,99.0,Casual,0,0,0,0 .. 20000,0,0,me,me
3419240,Saintess of the Golden Bow,0.0,,0,0,0,0 .. 20000,0,0,,
3417990,Battle Sablemon,0.0,,0,0,0,0 .. 20000,0,0,,
3418070,Free Solitaire - Kids,89.0,"Casual, Free To Play",0,0,0,0 .. 20000,0,0,WMGames,
3417930,Liminal Spaces: Outside The Backrooms,0.0,,0,0,0,0 .. 20000,0,0,,
3418830,Bear Jump,99.0,Casual,0,0,0,0 .. 20000,0,0,me,me
3418100,Faithfall,0.0,,0,0,0,0 .. 20000,0,0,,
3418020,Master of the Arena,0.0,,0,0,0,0 .. 20000,0,0,,
3418030,Nyxerion,0.0,,0,0,0,0 .. 20000,0,0,,
3418120,Fantasy Grounds - Pathfinder RPG - Pathfinder Module: City of Golden Death,2499.0,"Indie, RPG, Strategy",0,0,0,0 .. 20000,0,0,"SmiteWorks USA, LLC",
3418150,LORED,0.0,,0,0,0,0 .. 20000,0,0,,
3418200,Etherland Tactics,0.0,,0,0,0,0 .. 20000,0,0,,
3418300,Everfall 1999,599.0,"Action, Adventure, Early Access",0,0,0,0 .. 20000,0,0,Mayhemcreations,Mayhemcreations
3418320,Hotel Limbo,0.0,,0,0,0,0 .. 20000,0,0,,
3418350,Tricky Hotel,0.0,,0,0,0,0 .. 20000,0,0,,
3417520,A Directionless Cycle,0.0,,0,0,0,0 .. 20000,0,0,,
3417390,Treasure Match,499.0,Casual,0,0,0,0 .. 20000,0,0,Taranau Aliaksei,Taranau Aliaksei
3417550,POLDERS,0.0,,0,0,0,0 .. 20000,0,0,,
3417600,Vaulted Valor,0.0,,0,0,0,0 .. 20000,0,0,,
3417630,Melt Abyss,0.0,,0,0,0,0 .. 20000,0,0,,
3417410,Storebound,0.0,,0,0,0,0 .. 20000,0,0,,
